utr,credit_amount,value_date,narration
R7KO64T026RJRNY2,1486.78,2026-07-13,RAZORPAYX SETTLEMENT TXN10022 NEFT CR
L8OS9XTOGN1W1HT7,3818.89,2026-07-12,PG SETTLEMENT SETTLEMENT TXN10035 NEFT CR
6HID25OWF75935A0,7071.44,2026-07-26,RZP SETTLEMENT TXN10014 NEFT CR
KZ02XRGHC0CLBR7T,7703.62,2026-07-10,RAZORPAY SETTLEMENT TXN10009 NEFT CR
3GDPPQ0Y9DOM5IGQ,3949.57,2026-07-27,PG SETTLEMENT SETTLEMENT TXN10007 NEFT CR
KOJTPV60VAIY4VA1,3704.12,2026-07-17,RZP SETTLEMENT TXN10033 NEFT CR
UZBIKCIDKWNNHJ7X,6561.93,2026-07-21,RAZORPAYX SETTLEMENT TXN10000 NEFT CR
GV0E38DALY8OZCYW,3893.63,2026-07-10,RAZORPAY SETTLEMENT TXN10024 NEFT CR
5C34DXTAD1IOR56F,1831.89,2026-07-15,RAZORPAY SETTLEMENT TXN10008 NEFT CR
9TEX8FSV871YZOYN,1115.44,2026-07-16,PG SETTLEMENT SETTLEMENT TXN10005 NEFT CR
RL1N759IN4OLR6N9,6824.5,2026-07-17,RAZORPAYX SETTLEMENT TXN10038 NEFT CR
L1CQ99CHJ755NF4Z,5406.99,2026-07-11,RAZORPAY SETTLEMENT TXN10011 NEFT CR
2M5ZJA8DZR1YXR2D,1819.81,2026-07-08,RAZORPAYX SETTLEMENT TXN10027 NEFT CR
VE92MPNSM43D8W3Z,5593.75,2026-07-12,PG SETTLEMENT SETTLEMENT TXN10025 NEFT CR
XO9T7E8G8JDP0LVS,7568.73,2026-07-10,PG SETTLEMENT SETTLEMENT TXN10016 NEFT CR
PDZP6LFEWVZNVKSP,933.63,2026-07-17,RAZORPAY SETTLEMENT TXN10051 NEFT CR
LPU0DK0GET8T63J3,7103.83,2026-07-21,PG SETTLEMENT SETTLEMENT TXN10044 NEFT CR
FPMVXPJ4HNRIUU9K,7087.76,2026-07-24,PG SETTLEMENT SETTLEMENT TXN10042 NEFT CR
GDSWM31YIHAIR4CO,6300.73,2026-07-28,RAZORPAYX SETTLEMENT TXN10019 NEFT CR
53J2D54I3QK2IAGL,507.97,2026-07-16,RAZORPAY SETTLEMENT TXN10015 NEFT CR
ME9FPZUE8YFBNTPB,6561.52,2026-07-02,RZP SETTLEMENT TXN10013 NEFT CR
BPS3Y70HP87WXE6S,7075.27,2026-07-08,PG SETTLEMENT SETTLEMENT TXN10017 NEFT CR
4Q0B8IC8BBI4WIRE,5995.17,2026-07-15,RAZORPAYX SETTLEMENT TXN10023 NEFT CR
QX6GVWRDMLY4LYK8,437.53,2026-07-25,RAZORPAY SETTLEMENT TXN10034 NEFT CR
UVULEMX15Z8VMUHX,5940.83,2026-07-12,RAZORPAYX SETTLEMENT TXN10053 NEFT CR
KERPETIUYMO0PQCL,6107.5,2026-07-26,PG SETTLEMENT SETTLEMENT TXN10057 NEFT CR
49KWV08HHXFGCAQV,3787.32,2026-07-16,RZP SETTLEMENT TXN10031 NEFT CR
NN8ZTV05X4W7KYHQ,2207.64,2026-07-18,RAZORPAYX SETTLEMENT TXN10047 NEFT CR
J3TRP0J43D5IQVNB,1778.05,2026-07-19,RZP SETTLEMENT TXN10026 NEFT CR
7D5J60FKHMY4SJ6B,5378.96,2026-07-19,PG SETTLEMENT SETTLEMENT TXN10012 NEFT CR
QJ7YHL1C32OC6UZH,4399.71,2026-07-08,PG SETTLEMENT SETTLEMENT TXN10001 NEFT CR
FF0T0PVN9ER14FFY,3385.42,2026-07-31,RAZORPAY SETTLEMENT TXN10002 NEFT CR
N1U3493WXA73JGZL,6692.79,2026-07-14,RZP SETTLEMENT TXN10054 NEFT CR
V93KMKZEBBK7W1DA,2356.32,2026-07-21,PG SETTLEMENT SETTLEMENT TXN10029 NEFT CR
ZHQIMQODPXNF7C3D,6733.2,2026-07-23,RAZORPAY SETTLEMENT TXN10052 NEFT CR
52QC1IYYO4UDOJEN,7572.35,2026-07-12,RZP SETTLEMENT TXN10045 NEFT CR
K4CIJ2V2HEIFJFC2,727.22,2026-07-12,RZP SETTLEMENT TXN10032 NEFT CR
479T6VXDP5GJLQM5,991.18,2026-07-13,RZP SETTLEMENT TXN10022 NEFT CR
T84AZYTJXEPQ85JS,3305.84,2026-07-21,RAZORPAYX SETTLEMENT TXN10003 NEFT CR
XRPJ1EPKYRYBOVAK,470.92,2026-07-10,RAZORPAYX SETTLEMENT TXN10056 NEFT CR
TGXN0GUO4KH2VLPY,2876.83,2026-07-26,PG SETTLEMENT SETTLEMENT TXN10018 NEFT CR
OFY6452H2ZQU7EEQ,5748.64,2026-07-14,RZP SETTLEMENT TXN10020 NEFT CR
HH5LF6A4FEJGXAA2,990.64,2026-07-27,RAZORPAYX SETTLEMENT TXN10049 NEFT CR
DIA5U6HC36KOF8KR,4768.94,2026-07-22,RAZORPAY SETTLEMENT TXN10046 NEFT CR
J5ECRUYF38DIUOVW,3713.76,2026-07-06,PG SETTLEMENT SETTLEMENT TXN10030 NEFT CR
KXVF1T2TALA753LC,4205.95,2026-07-06,RAZORPAY SETTLEMENT TXN10004 NEFT CR
UOFWB0HPMNZ1UDBF,3058.75,2026-07-06,RAZORPAY SETTLEMENT TXN10055 NEFT CR
CC5O7UUBCXULJYLJ,7523.98,2026-07-03,RAZORPAYX SETTLEMENT TXN10010 NEFT CR
JEPECQNVQHW06XKX,4800.37,2026-07-01,RAZORPAY SETTLEMENT TXN10050 NEFT CR
PDZP6LFEWVZNVKSP,933.63,2026-07-17,RAZORPAY SETTLEMENT TXN10051 NEFT CR
36P6QF5Q14J1RIPZ,7445.34,2026-07-17,RAZORPAYX SETTLEMENT TXN10021 NEFT CR
SV55PSQ0OXFQ8MYX,3765.89,2026-07-02,PG SETTLEMENT SETTLEMENT TXN10039 NEFT CR
5RTWIYKID91ZDFKB,7475.37,2026-07-23,RZP SETTLEMENT TXN10040 NEFT CR
NFTU2GC5WI6FQJJA,6318.36,2026-07-11,PG SETTLEMENT SETTLEMENT TXN10041 NEFT CR
PEAL2W37D4IVSOLM,4687.21,2026-07-25,RZP SETTLEMENT TXN10058 NEFT CR
2960361I2HGJ11YE,2498.22,2026-07-21,RAZORPAY SETTLEMENT TXN10043 NEFT CR
XNTM9TMQLIZL08YG,3449.63,2026-07-09,PG SETTLEMENT SETTLEMENT TXN10028 NEFT CR
QFGV0EC14M2JA04U,6600.88,2026-07-16,PG SETTLEMENT SETTLEMENT TXN10037 NEFT CR
WTG1M8XFDJGF1C8W,6193.67,2026-07-05,PG SETTLEMENT SETTLEMENT TXN10059 NEFT CR
BW2ZLAOI4E8XF7KZ,6938.64,2026-07-16,PG SETTLEMENT SETTLEMENT TXN10036 NEFT CR
N6XCJ883DHX8BM92,6752.66,2026-07-07,RAZORPAYX SETTLEMENT TXN10048 NEFT CR
BOLGR3FUYEEFMGIY,3233.0,2026-07-14,RAZORPAY SETTLEMENT INJTXN0001 PART1 NEFT CR
YIQ6MLGMMOLLGVRP,2155.34,2026-07-14,RAZORPAY SETTLEMENT INJTXN0001 PART2 NEFT CR
30RGW6R7503XQIIW,2694.17,2026-07-14,RAZORPAY ADJ INJTXN0001 REVERSAL
5NHN66CHP00PXH8Z,2315.3,2026-07-14,RAZORPAY SETTLEMENT INJTXN0002 PART1 NEFT CR
P87MF3PSA7W52WQX,1543.53,2026-07-14,RAZORPAY SETTLEMENT INJTXN0002 PART2 NEFT CR
DTFA65GSEINFDQ97,1929.42,2026-07-14,RAZORPAY ADJ INJTXN0002 REVERSAL
I8DYYUECCND05JHT,1497.29,2026-07-11,RAZORPAY SETTLEMENT INJTXN0003 PART1 NEFT CR
G4T9O4DEI5SZCLO7,998.19,2026-07-11,RAZORPAY SETTLEMENT INJTXN0003 PART2 NEFT CR
P51JE2XB7UFEF69H,1247.74,2026-07-11,RAZORPAY ADJ INJTXN0003 REVERSAL
