txn_id,order_id,gross,fee,tax,net,settled_date
TXN10000,ORD20000,6720.53,134.41,24.19,6561.93,2026-07-20
TXN10001,ORD20001,4506.05,90.12,16.22,4399.71,2026-07-08
TXN10002,ORD20002,3467.24,69.34,12.48,3385.42,2026-07-21
TXN10003,ORD20003,3385.75,67.72,12.19,3305.84,2026-07-20
TXN10004,ORD20004,4307.61,86.15,15.51,4205.95,2026-07-04
TXN10005,ORD20005,1142.4,22.85,4.11,1115.44,2026-07-16
TXN10006,ORD20006,1407.53,28.15,5.07,1374.31,2026-07-08
TXN10007,ORD20007,4045.03,80.9,14.56,3949.57,2026-07-26
TXN10008,ORD20008,1876.16,37.52,6.75,1831.89,2026-07-15
TXN10009,ORD20009,7889.82,157.8,28.4,7703.62,2026-07-09
TXN10010,ORD20010,7705.84,154.12,27.74,7523.98,2026-07-03
TXN10011,ORD20011,5537.68,110.75,19.94,5406.99,2026-07-10
TXN10012,ORD20012,5508.97,110.18,19.83,5378.96,2026-07-18
TXN10013,ORD20013,6720.11,134.4,24.19,6561.52,2026-07-02
TXN10014,ORD20014,7242.36,144.85,26.07,7071.44,2026-07-26
TXN10015,ORD20015,523.84,10.48,1.89,511.47,2026-07-14
TXN10016,ORD20016,7751.67,155.03,27.91,7568.73,2026-07-09
TXN10017,ORD20017,7246.29,144.93,26.09,7075.27,2026-07-07
TXN10018,ORD20018,2946.37,58.93,10.61,2876.83,2026-07-23
TXN10019,ORD20019,6453.02,129.06,23.23,6300.73,2026-07-26
TXN10020,ORD20020,5887.59,117.75,21.2,5748.64,2026-07-13
TXN10021,ORD20021,7625.3,152.51,27.45,7445.34,2026-07-15
TXN10022,ORD20022,2537.86,50.76,9.14,2477.96,2026-07-11
TXN10023,ORD20023,6140.07,122.8,22.1,5995.17,2026-07-14
TXN10024,ORD20024,3987.75,79.76,14.36,3893.63,2026-07-09
TXN10025,ORD20025,5728.95,114.58,20.62,5593.75,2026-07-10
TXN10026,ORD20026,1821.03,36.42,6.56,1778.05,2026-07-17
TXN10027,ORD20027,1863.8,37.28,6.71,1819.81,2026-07-07
TXN10028,ORD20028,3533.01,70.66,12.72,3449.63,2026-07-08
TXN10029,ORD20029,2573.75,51.48,9.27,2513.0,2026-07-19
TXN10030,ORD20030,3803.52,76.07,13.69,3713.76,2026-07-06
TXN10031,ORD20031,3878.86,77.58,13.96,3787.32,2026-07-15
TXN10032,ORD20032,744.8,14.9,2.68,727.22,2026-07-10
TXN10033,ORD20033,3793.65,75.87,13.66,3704.12,2026-07-15
TXN10034,ORD20034,451.69,9.03,1.63,441.03,2026-07-25
TXN10035,ORD20035,3911.19,78.22,14.08,3818.89,2026-07-11
TXN10036,ORD20036,7106.35,142.13,25.58,6938.64,2026-07-16
TXN10037,ORD20037,6760.43,135.21,24.34,6600.88,2026-07-16
TXN10038,ORD20038,6989.45,139.79,25.16,6824.5,2026-07-15
TXN10039,ORD20039,4214.96,84.3,15.17,4115.49,2026-07-02
TXN10040,ORD20040,7656.05,153.12,27.56,7475.37,2026-07-21
TXN10041,ORD20041,6471.08,129.42,23.3,6318.36,2026-07-10
TXN10042,ORD20042,7259.07,145.18,26.13,7087.76,2026-07-22
TXN10043,ORD20043,2558.6,51.17,9.21,2498.22,2026-07-19
TXN10044,ORD20044,7275.53,145.51,26.19,7103.83,2026-07-21
TXN10045,ORD20045,7755.38,155.11,27.92,7572.35,2026-07-10
TXN10046,ORD20046,4884.2,97.68,17.58,4768.94,2026-07-21
TXN10047,ORD20047,2261.0,45.22,8.14,2207.64,2026-07-18
TXN10048,ORD20048,6915.88,138.32,24.9,6752.66,2026-07-04
TXN10049,ORD20049,1014.58,20.29,3.65,990.64,2026-07-25
TXN10050,ORD20050,4916.4,98.33,17.7,4800.37,2026-07-01
TXN10051,ORD20051,956.19,19.12,3.44,933.63,2026-07-16
TXN10052,ORD20052,6895.95,137.92,24.83,6733.2,2026-07-21
TXN10053,ORD20053,6084.42,121.69,21.9,5940.83,2026-07-12
TXN10054,ORD20054,6854.56,137.09,24.68,6692.79,2026-07-12
TXN10055,ORD20055,3132.68,62.65,11.28,3058.75,2026-07-06
TXN10056,ORD20056,485.89,9.72,1.75,474.42,2026-07-09
TXN10057,ORD20057,6255.12,125.1,22.52,6107.5,2026-07-25
TXN10058,ORD20058,4800.5,96.01,17.28,4687.21,2026-07-23
TXN10059,ORD20059,6343.38,126.87,22.84,6193.67,2026-07-03
INJTXN0001,INJORD0001,5518.58,110.37,19.87,5388.34,2026-07-14
INJTXN0002,INJORD0002,3952.1,79.04,14.23,3858.83,2026-07-14
INJTXN0003,INJORD0003,2555.8,51.12,9.2,2495.48,2026-07-10
