order_id,invoice_amount,currency,status,date
ORD20049,1014.58,INR,paid,2026-07-25
ORD20007,4045.03,USD,paid,2026-07-26
ORD20017,7246.29,INR,paid,2026-07-07
ORD20005,1142.4,INR,paid,2026-07-16
ORD20000,6720.53,INR,paid,2026-07-20
ORD20014,7242.36,INR,paid,2026-07-26
ORD20019,6453.02,INR,paid,2026-07-26
ORD20035,3911.19,INR,paid,2026-07-11
ORD20001,4506.05,INR,paid,2026-07-08
ORD20008,1876.16,INR,paid,2026-07-15
ORD20059,6343.38,INR,paid,2026-07-03
ORD20025,5728.95,INR,paid,2026-07-10
ORD20055,3132.68,INR,paid,2026-07-06
ORD20052,6895.95,INR,paid,2026-07-21
ORD20013,6720.11,INR,paid,2026-07-02
ORD20030,3803.52,INR,paid,2026-07-06
ORD20054,6854.56,INR,paid,2026-07-12
ORD20034,451.69,INR,paid,2026-07-25
ORD20029,2573.75,INR,paid,2026-07-19
ORD20043,2558.6,INR,paid,2026-07-19
ORD20012,5508.97,INR,paid,2026-07-18
ORD20027,1863.8,INR,paid,2026-07-07
ORD20022,2537.86,INR,paid,2026-07-11
ORD20020,5887.59,INR,paid,2026-07-13
ORD20031,3878.86,INR,paid,2026-07-15
ORD20057,6255.12,INR,paid,2026-07-25
ORD20037,6760.43,INR,paid,2026-07-16
ORD20036,7106.35,INR,paid,2026-07-16
ORD20050,4916.4,INR,paid,2026-07-01
ORD20056,485.89,INR,paid,2026-07-09
ORD20048,6915.88,INR,paid,2026-07-04
ORD20009,7889.82,INR,paid,2026-07-09
ORD20016,7751.67,INR,paid,2026-07-09
ORD20045,7755.38,INR,paid,2026-07-10
ORD20044,7275.53,INR,paid,2026-07-21
ORD20006,1407.53,INR,paid,2026-07-08
ORD20040,7656.05,INR,paid,2026-07-21
ORD20004,4307.61,INR,paid,2026-07-04
ORD20058,4800.5,INR,paid,2026-07-23
ORD20003,3385.75,INR,paid,2026-07-20
ORD20038,6989.45,INR,paid,2026-07-15
ORD20021,7625.3,INR,paid,2026-07-15
ORD20026,1821.03,INR,paid,2026-07-17
ORD20024,3987.75,INR,paid,2026-07-09
ORD20018,2946.37,INR,paid,2026-07-23
ORD20047,2261.0,INR,paid,2026-07-18
ORD20023,6140.07,INR,paid,2026-07-14
ORD20010,7705.84,INR,paid,2026-07-03
ORD20039,4214.96,INR,paid,2026-07-02
ORD20051,956.19,INR,paid,2026-07-16
ORD20033,3793.65,INR,paid,2026-07-15
ORD20053,6084.42,INR,paid,2026-07-12
ORD20028,3533.01,INR,paid,2026-07-08
ORD20046,4884.2,INR,paid,2026-07-21
ORD20015,523.84,INR,paid,2026-07-14
ORD20002,3467.24,INR,paid,2026-07-21
ORD20011,5537.68,INR,paid,2026-07-10
ORD20041,6471.08,INR,paid,2026-07-10
ORD20032,744.8,INR,paid,2026-07-10
INJORD0001,5518.58,INR,paid,2026-07-14
INJORD0002,3952.1,INR,paid,2026-07-14
INJORD0003,2555.8,INR,paid,2026-07-10
